"league_id","year","league_name"
"10033","2023","#SFB13 Jack in the Box"
"11783","2023","#SFB13 7-Eleven"
"13262","2023","#SFB13 Gusteau's"
"13805","2023","#SFB13 Smash Burger"
"14383","2023","#SFB13 Maruchan Instant Ramen"
"16327","2023","#SFB13 Template"
"16611","2023","#SFB13 Hostess"
"18661","2023","#SFB13 Five Guys"
"19083","2023","#SFB13 Funyuns"
"19242","2023","#SFB13 Panda Express"
"19410","2023","#SFB13 Chipotle"
"20818","2023","#SFB13 Budweiser"
"22257","2023","#SFB13 Pringles"
"22683","2023","#SFB13 Taco John's"
"22723","2023","#SFB13 Starry"
"22787","2023","#SFB13 Ritz"
"24005","2023","#SFB13 Bojangles"
"24426","2023","#SFB13 Culver's"
"24558","2023","#SFB13 Grilloâs Pickles"
"25282","2023","#SFB13 Hormel"
"25475","2023","#SFB13 Shake Shack"
"25641","2023","#SFB13 Mt. Dew"
"27680","2023","#SFB13 Bill's Bar"
"27947","2023","#SFB13 Nathan's Famous"
"28764","2023","#SFB13 Camden Town Brewery"
"28894","2023","#SFB13 Honker Burger"
"29943","2023","#SFB13 Jimmy John's"
"30558","2023","#SFB13 Krispy Kreme"
"30599","2023","#SFB13 Red Bull"
"30818","2023","#SFB13 8 East"
"32402","2023","#SFB13 Skyline"
"33910","2023","#SFB13 Pollo Tropical"
"34633","2023","#SFB13 JIF"
"35324","2023","#SFB13 Nestle"
"35829","2023","#SFB13 Smuckers"
"36116","2023","#SFB13 Loretta's"
"36357","2023","#SFB13 Sunkist"
"36764","2023","#SFB13 Miller Lite"
"37392","2023","#SFB13 Crush"
"37912","2023","#SFB13 Katz's Deli"
"38414","2023","#SFB13 LongHorn Steakhouse"
"39548","2023","#SFB13 Bonefish Grill"
"40010","2023","#SFB13 Del Taco"
"41252","2023","#SFB13 The Capital Grille"
"41619","2023","#SFB13 Auntie Anne's"
"42040","2023","#SFB13 Hi-C"
"43746","2023","#SFB13 Cold Stone Creamery"
"44163","2023","#SFB13 Red Lobster"
"44431","2023","#SFB13 Betty Crocker"
"44607","2023","#SFB13 Boston Market"
"44696","2023","#SFB13 Piggly Wiggly"
"45910","2023","#SFB13 Potbelly Sandwich Shop"
"46793","2023","#SFB13 Snapple"
"46802","2023","#SFB13 Reese's"
"46957","2023","#SFB13 Krusty Krab"
"47664","2023","#SFB13 Corona"
"48432","2023","#SFB13 Monster"
"51041","2023","#SFB13 Pappy's Smokehouse"
"51958","2023","#SFB13 First Watch"
"51967","2023","#SFB13 Steak n Shake"
"52150","2023","#SFB13 Mike & Ike"
"53027","2023","#SFB13 Denny's"
"53538","2023","#SFB13 Einstein Bros. Bagels"
"54052","2023","#SFB13 Planters"
"54291","2023","#SFB13 Got milk?"
"54656","2023","#SFB13 White Claw"
"55485","2023","#SFB13 M&Ms"
"56520","2023","#SFB13 Happy Hour with Matthew Berry"
"57021","2023","#SFB13 Jimmy Buffet's Margaritaville"
"57244","2023","#SFB13 Portillo's"
"57450","2023","#SFB13 BJ's Restaurant and Brewhouse"
"57652","2023","#SFB13 Miller Lite"
"57697","2023","#SFB13 Golden Corral"
"57810","2023","#SFB13 Cracker Barrel"
"58651","2023","#SFB13 Tostitos"
"58692","2023","#SFB13 Ruth's Chris Steak House"
"58752","2023","#SFB13 Ocean Spray"
"58822","2023","#SFB13 Estiatorio Milos"
"59790","2023","#SFB13 Template backup - don't touch"
"60690","2023","#SFB13 Graeter's Ice Cream"
"61328","2023","#SFB13 Safeway"
"62004","2023","#SFB13 Los Pollos Hermanos"
"62410","2023","#SFB13 Golden Steer Steakhouse"
"62496","2023","#SFB13 Gatorade"
"62915","2023","#SFB13 Sbarro"
"64054","2023","#SFB13 Busch"
"64254","2023","#SFB13 Sour Patch Kids"
"65474","2023","#SFB13 Good Burger"
"65552","2023","#SFB13 Heineken"
"66756","2023","#SFB13 Cheers"
"67311","2023","#SFB13 LaRosa's"
"68828","2023","#SFB13 John's Roast Pork"
"68940","2023","#SFB13 Tropical Smoothie Cafe"
"72626","2023","#SFB13 Kit Kat"
"73630","2023","#SFB13 The Landsdowne"
"74268","2023","#SFB13 Keebler"
