league_id,league_name
983573584717156352,#SFB13 Margaritaville
976262031512797184,#SFB13 Buena Vista
976261878206787584,#SFB13 Round Table Pizza 
976261660400783360,#SFB13 Charley's Philly Steaks
976261497376555008,#SFB13 Geno's Steaks 
976261141909286912,#SFB13 Pat's King of Steaks
976260981057781760,#SFB13 Dole Whip
976260833393135616,#SFB13 Pizza Planet
976260651259613184,#SFB13 Sci-Fi
976259809760555008,#SFB13 Cheerios 
976259651387838464,#SFB13 Green Giant
976259355953651712,#SFB13 Lion's Tap
976259167998586880,#SFB13 Spam 
976259024729497600,#SFB13 El Tizoncito
976258810002128896,#SFB13 Patron
976258672990998528,#SFB13 Salon Tenampa
976258270845370368,#SFB13 McVitie's
976258086736314368,#SFB13 Walkers
976257089054015488,#SFB13 Hills Have Pies
976256882358685696,#SFB13 Sam's No. 3
976256654289289216,#SFB13 Ben's Chili Bowl
976256445064765440,#SFB13 Capital City
976256302701666304,#SFB13 Crisp & Juicy 
976256080705597440,#SFB13 DC Brau
976255932525019136,#SFB13 Dave & Buster's 
976255678144700416,#SFB13 Jason's Deli 
976255524675080192,#SFB13 Whataburger
976255349898391552,#SFB13 WingStop
976254557468540928,#SFB13 Lou Malnati's
976254331211001856,#SFB13 Gino's East
976254160767131648,#SFB13 Giordano's 
976253935210078208,#SFB13 Uno Pizzeria 
976253751667339264,#SFB13 Anchor Bar
976253490160832512,#SFB13 Fattey Beer Co.
976252462224969728,#SFB13 Coca-Cola
976252270843060224,#SFB13 Waffle House
976252084750229504,#SFB13 Albertsons
976251873231536128,#SFB13 Bob Evans
976251643333251072,#SFB13 Checkers/Rally's 
976251381025742848,#SFB13 Cheddar's Scratch Kitchen 
976251127027060736,#SFB13 Del Monte
976250964711657472,#SFB13 Hungry Howie's Pizza
976250675539587072,#SFB13 Jack's Family Restaurants
976249368892207104,#SFB13 Oscar Mayer
976249201136865280,#SFB13 Papa Murphy's 
976248966293598208,#SFB13 Pillsbury 
976248822110240768,#SFB13 Quaker
976248666883194880,#SFB13 Bugles
